,a,b,c,d,e,f,g,h,i
15,V,I,U,U,Pleasure,https://book-of-thoth.net/Six-of-Cups-Pleasure,https://en.wikipedia.org/wiki/Six_of_Cups,"AN Angelic Hand, as before, holds a group of stems of
water-lilies or lotuses, from which six flowers bend, one over 
each cup. From these flowers a white glistening water flows
into the cups as from a fountain, but they are not yet full.
Above and below are The Sun and Scorpio referring to the Decan. 

Commencement of steady increase, gain and pleasure; but
commencement only. Also affront, detection, knowledge,
and in some instances contention and strife arising from
unwarranted self-assertion and vanity. Sometimes thankless
and presumptuous; sometimes amiable and patient. According
to dignity as usual. 


(Beginning of wish, happiness, success, or
enjoyment).

“This card shows the influence of the number Six, Tiphareth, in the suit of
Water. This influence is fortified by that of the Sun, who also represents the
Six. The whole image is that of the influence of the Sun on Water. His fierce,
but balanced power operates that type of putrefaction - he is in the Sign of
Scorpio - which is the basis of all fertility, all life.

The lotus stems are grouped in an elaborate dancing movement. From their
blossoms water gushes into the Cups, but they are not yet full to overflowing,
as they are in the corresponding card below; the Nine.

Pleasure, in the title of this card, must be understood in its highest sense: it
implies well-being, harmony of natural forces without effort or strain, ease,
satisfaction. Foreign to the idea of the card is the gratification of natural or
artificial desires. Yet it does represent emphatically the fulfilment of the
sexual Will, as shown by the ruling Sephira, planet, element, and sign.

In the Yi King, Sol in Scorpio is represented by the 20th Hexagram, Kwan,
which is also “Big Earth”, being the Earth Trigram with doubled lines. Kwan
means “manifesting”, but also “contemplating”. The Thwan refers directly to an
High Priest, ceremonially purified, about to present his offerings. The idea of
Pleasure-Putrefaction as a Sacrament is therefore implicit in this Hexagram as
in this card; while the comments on the separate lines by the Duke of Chau
indicate the analytical value of this Eucharist. It is one of the master-keys to
the Gate of Initiation. To realize and to enjoy this fully it is necessary to know,
to understand, and to experience, the Secret of the Ninth Degree of the O.T.O.”
","-speaking countries, where the games are largely unknown, Tarot cards came to be utilized primarily for 

The six of cups in the esoteric use of the card stands for innocence and nostalgia when it is an upright position. When this card is in a reversed position, it represents the themes of being  stuck in the past, naïve, and unrealistic. Another way it has been interpreted is that it means that it is time to look back to a simpler way of thinking. Unquestionable love is a more modern interpretation.

 The children that are used on the card are there to promote the idea of children being able to hold on to love and to not respond with emotion like adults tend to do.


If the card appears in the reversed position, it indicates a fixation on times which have passed, nostalgia or ruminations on childhood.


The six of cups card can be identified by the six cups that are filled with flowers. The flowers have five points and they are white. Also in the picture, there is an older boy who seems to be smelling the flower while handing it to a younger girl. In the background of the photo, there is a figure walking away from the younger children which appears to be an older person. There is a house and a garden in the background as well. The main color of the image is yellow. Each of these symbols can be interpreted in different ways depending on who is interpreting them. Also there are certain card combinations that, if drawn with the Six of Cups during your reading, the card will be influenced in a certain way.

Mystical Origins of the Tarot: From Ancient Roots to Modern Usage

https://en.wikipedia.org/w/index.php?title=Six_of_Cups&oldid=1057840140

 This page was last edited on 30 November 2021, at 00:13

;
additional terms may apply.  By using this site, you agree to the "
16,V,II,U,U,Debauch,https://book-of-thoth.net/Seven-of-Cups-Debauch,https://en.wikipedia.org/wiki/Seven_of_Cups,"The seven cups are arranged as two descending triangles
above a point: a hand, as usual, holds lotus stems which arise
from the central lower cup. The hand is above this cup and
below the middle one. With the exception of the central lower
cup, each is overhung by a lotus flower, but no water falls from
these into any of the cups, which are all quite empty. Above
and below are the symbols of the Decanate Venus and Scorpio. 

Possible victory, but neutralized by the supineness of the
person: illusionary success, deception in the moment of
apparent victory. Lying, error, promises unfulfilled. Drunkenness,
wrath, vanity. Lust, fornication, violence against women, 
selfish dissipation, deception in love and friendship. Often
success gained, but not followed up. Modified as usual by
dignity. 


(Lying, promises unfulfilled; illusion,
deception, error; slight success at outset, not retained).

“This card refers to the Seven, Netzach, in the suit of Water. Here recurs the
invariable weakness arising from lack of balance; also, the card is governed by

Venus in Scorpio. Her dignity is not good in this Sign; one is reminded that
Venus is the planet of Copper, “external splendour and internal corruption”.
The Lotuses have become poisonous, looking like tiger-lilies; and, instead of
water, green slime issues from them and overflows, making the Sea a malarious morass. Venus redoubles the influence of the number Seven.

The cups are iridescent, carrying out the same idea.

They are arranged as two descending triangles interlaced above the lowest cup,
which is very much larger than the rest.

This card is almost the “evil and averse” image of the Six; it is a wholesome
reminder of the fatal ease with which a Sacrament may be profaned and
prostituted.


Lose direct touch with Kether, the Highest; diverge never so little from the delicate
balance of the Middle Pillar; at once the holiest mysteries of Nature become the
obscene and shameful secrets of a guilty conscience.”
",", which may reflect their ungrounded, impractical or transient nature and the over-

 or confusion of the figure conjuring them. Accordingly, they have been associated with 

There is some dispute as to what the 7 symbols in the cups mean, but tarotologists have some speculation as to the meanings. The exact elements of this vision may be less important than the very act of conjuring them. 


According to some, this Card represents self-delusion, while others emphasize choice or temptation. Under rare and extreme circumstances, it may indicate the revelation of 

A human head – may represent a potential companion to the seeker (

); also, the face of an oracle that gives answers and wisdom to all enquiries.

A shrouded, glowing figurine – may represent the burning need for the conjurer's self-illumination.

 – may represent animal passion and desire. Alternatively, some consider the snake to represent powerful transformative knowledge. The snake around 

's waist may offer insight into Waite's intention with this inclusion herein.

 – may represent power and stability, or one's native land. (contrast with 

 – most likely represents victory, honor and status. Note the 

 like shadow on the cup itself, which may point to the great dangers of 

 – in keeping with the Christian imagery of the deck, it is more likely a symbol of evil, anger and envy, calamity. Today, dragons are mostly associated with 

 after a time of confusion. It can also indicate that long-held dreams or ambitions are being overturned, either for good or ill. 


https://en.wikipedia.org/w/index.php?title=Seven_of_Cups&oldid=1039467307

 This page was last edited on 18 August 2021, at 21:56

;
additional terms may apply.  By using this site, you agree to the "
17,V,III,U,U,Indolence,https://book-of-thoth.net/Eight-of-Cups-Indolence,https://en.wikipedia.org/wiki/Eight_of_Cups,"A White Radiating Angelic Hand, holding a group of stems
of lotuses or water-lilies. There are only two flowers shown,
which bend over the two central cups, pouring into them a
white water which fills them and runs over into the three
lowest, which later are not yet filled The three
uppermost are quite empty. At the top and bottom of
the card are symbols Saturn and Pisces. 

Temporary success, but without further results. Thing
thrown aside as soon as gained. Not lasting, even in the
matter in hand. Indolence in success. Journeying from
place to place. Misery and repining without cause. Seeking
after riches. Instability. 


“The Eight, Hod, in the suit of Water, governs this card. It shows the influence
of Mercury, but this is overpowered by the reference of the card to Saturn in
Pisces. Pisces is calm but stagnant water; and Saturn deadens it completely.
Water appears no longer as the Sea but as pools; and there is no florescence in
this card as there was in the last. The Lotuses droop for lack of sun and rain,
and the soil is poison to them; only two of the stems sliow blossoms at all. The
cups are shallow, old and broken. They are arranged in three rows; of these the
upper row of three is quite empty. Water trickles from the two flowers into the
two central cups, and they drip into the two lowest without filling them. The
background of the card shows pools, or lagoons, in very extensive country,
incapable of cultivation; only disease and miasmatic poison can flourish in
those vast Bad Lands.

The water is dark and muddy. On the horizon is a pallid, yellowish light,
weighed down by leaden clouds of indigo.

Compare with the last card; it represents the opposite and complementary
error. The one is the Garden of Kundry, the other the Palace of Klingsor.


In the psychopathology of The Path, this card is the German Measles of
Christian Mysticism.”
"," is a card used in Latin suited playing cards which include 

-speaking countries, where the games are largely unknown, Tarot cards came to be utilized primarily for 

This indicates changes in affections and the breaking of irrelevant links with the past - a turning away from existing relationships and objects of affection with the intent of progressing to that which is new and deeper in meaning.  A change or gaining of perspective, this can indicate disillusion with the present, inaugurating the growth of greater future contentment and depth.


This card usually carries the meaning of disillusionment and abandonment of things which have not been emotionally fulfilling.


Mystical Origins of the Tarot: From Ancient Roots to Modern Usage

https://en.wikipedia.org/w/index.php?title=Eight_of_Cups&oldid=1039461721

 This page was last edited on 18 August 2021, at 21:08

;
additional terms may apply.  By using this site, you agree to the "
18,I,X,U,U,Happiness,https://book-of-thoth.net/Nine-of-Cups-Happiness,https://en.wikipedia.org/wiki/Nine_of_Cups,"A WHITE Radiant Angelic Hand, issuing from a cloud
holding lotus or water-lilies, one flower of which overhangs
each cup; from it a white water pours. Cups are
arranged in three rows of 3. Jupiter and Pisces above and below. 

Complete and perfect realization of pleasure and happiness,
almost perfect; self-praise, vanity, conceit, much talking of
self, yet kind and lovable, and may be self-denying therewith.
High-minded, not easily satisfied with small and limited
ideas. Apt to be maligned through too much self-assumption.
A good and generous, but sometimes foolish nature. 

(Complete success, pleasure and happiness,
wishes fulfilled).

“The Number Nine, Yesod, in the suit of Water, restores the stability lost by the
excursions of Netzach and Hod from the Middle
Pillar. It is also the number of the Moon, thus strengthening the idea of Water.


In this card is the pageant of the culmination and perfection of the original
force of Water.

The Ruler is Jupiter in Pisces. This influence is more than sympathetic; it is a
definite benediction, for Jupiter is the planet of Chesed which represents
Water in its highest material manifestation, and Pisces brings out the placid
qualities of Water.

In the symbol are nine cups perfectly arranged in a square; all are filled and
overflowing with Water. It is the most complete and most beneficient aspect of
the force of Water.

The Geomantic Figure Laetitia ~ is ruled by Jupiter in Pisces. For its meaning
consult the “

). Laetitia, Joy,
gladness, is one of the best and most powerful of the sixteen figures; for the
Solar, Lunar, and Mercurial symbols are, at the best, ambiguous and
treacherously ambivalent; those of Venus portend rather relief than positive
beneficence; Saturn and Mars are seen at their worst; and even the stable companion
of Laetitia, Acquisitio, has its unpleasant aspects, and even its
dangers. But the consonance of Laetitia with this card amounts to little less
than an identity; the wine is poured by Ganymede himself, unstinted vintage of true nectar of the Gods, brimful and running over, an ordered banquet of
delight, True Wisdom self-fulfilled in Perfect Happiness.”
"," is a card used in Latin suited playing cards which include 

-speaking countries, where the games are largely unknown, Tarot cards came to be utilized primarily for 

Having your wish fulfilled. Achieving what you desire. Obtaining your goal. Getting what you think you want. Having your dream come true.

Feeling satisfied. Indulging in a little smugness. Enjoying the situation just as it is. Feeling pleased as punch. Getting the results you hoped for. Feeling all's well with the world. Being contented.


Enjoying sensual pleasure. Experiencing luxury. Savoring a delicious meal.  Appreciating the arts. 

In its reversed position, this card indicates unrealistic wishes or dreams which are not destined to become reality.


, it can be difficult for tarot novices to differentiate between these two cards as both symbolise emotional happiness. In Tarot there is a direct relationship between cards of the same numeric value because they share the same numerological symbology. The 9 of Cups is directly related to 

, card 9 of the Major Arcana. It therefore has an element of solitude about it. It's a card of emotional happiness and fulfilment which is enjoyed alone. Therefore, the main difference between the Nine and Ten of Cups is that the nine is a card of emotional happiness and fulfilment which is enjoyed alone and the ten is a card of emotional happiness and fulfilment enjoyed collectively (i.e., a family, a community etc.).

Mystical Origins of the Tarot: From Ancient Roots to Modern Usage

""9 of Cups Tarot Card Meaning & Interpretation | Articles at Phuture.me""

""10 of Cups Tarot Card Meaning & Interpretation | Articles at Phuture.me""

https://en.wikipedia.org/w/index.php?title=Nine_of_Cups&oldid=1039465739

 This page was last edited on 18 August 2021, at 21:41

;
additional terms may apply.  By using this site, you agree to the "
19,X,,U,U,Satiety,https://book-of-thoth.net/Ten-of-Cups-Satiety,https://en.wikipedia.org/wiki/Ten_of_Cups,"HAND, as usual, holding bunch of water-lilies or lotuses,
whose flowers pour a white water into all the cups, which all
run over. The uppermost cup is held sideways by a hand, and
pours water into the left-hand upper cup. A single lotus flower
surmounts the top cup, and is the source of the water that fills
it. Above and below the symbols of Mars and Pisces. 

Permanent and lasting success and happiness, because
inspired from above. Not so sensual as “Lord of Material
Happiness,” yet almost more truly happy. Pleasure,
dissipation, debauchery, quietness, peacemaking. Kindness,
pity, generosity, wantonness, waste, etc., according to dignity.

(This is not such a good card as stated. It represents
boredom, and quarrelling arising therefrom; disgust springing
from too great luxury. In particular it represents drug habits,
the sottish excess of pleasure and the revenge of
nature.)


“This card represents a conflicting element. On the one hand, it receives the
influence of the Ten, Malkah the Virgin. The arrange ment of the cups is that of
the Tree of Life. But, on the other hand, they are themselves unstable. They
are tilted; they spill the water from the great Lotus which overhangs the whole
system from one into the other.

The work proper to water is complete: and disturbance is due. This comes from the influence of Mars in Pisces. Mars is the gross, violent and
disruptive force which inevitably attacks every supposed perfection. His energy
displays the greatest possible con trast with that of Pisces, which is both
peaceful and spiritualized.”
","-speaking countries, where the games are largely unknown, tarot cards came to be utilized primarily for 

In many decks, the Ten of Cups appears in the form of a series of ten cups arranged in a rainbow, being contemplated by a young couple, their arms raised in wonder. Nearby, two young children are seen playing. In other decks, the rainbow image is removed and the children are not evident, but in most cases, the cups are arranged upright and a young happy couple is pictured.


The divinatory message is evident in this image, in that it represents fortunate marriage, contentment of the heart, and the perfection of human love and friendship. It can also refer to the town or country where the querent lives. This is one of the most positive cards in the entire Tarot deck. Reversed, it can refer to quarreling, violence, and a troubled heart.

Other divinatory meanings include a peaceful environment and (reversed) a disrupted routine, and selfish exploitation.


, each of the forty pip cards of the Tarot deck is assigned and attributed to one of the four letters of the 

. In the case of the Ten of Cups, this attribution is to the tenth sephirah of 

). The correlation between the two terms in this combination leads to a symbolic title for each card. In the case of this card, that key name is 

, this is the only card in the suit where the cups are up in the air and not physically supported. This may show contentment which is not based on material circumstance, or a lack of material consideration.

Mystical Origins of the Tarot: From Ancient Roots to Modern Usage

https://en.wikipedia.org/w/index.php?title=Ten_of_Cups&oldid=1039469202

 This page was last edited on 18 August 2021, at 22:10

;
additional terms may apply.  By using this site, you agree to the "
20,I,,🞡,🞡,Air,https://book-of-thoth.net/Ace-of-Swords,https://en.wikipedia.org/wiki/Ace_of_Swords,"A White Radiating Angelic Hand, issuing from clouds,
and grasping the hilt of a sword, which supports a White
Radiant Celestial Crown; from which depend, on the right,
the olive branch of Peace; and on the left, the palm branch of
suffering.
Six Vaus fall from its point. It symbolizes 

, as
contrasted with Natural Force: for it is the Invocation of the
Sword. Raised upward, it invokes the Divine crown of
Spiritual Brightness, but reversed it is the Invocation of
Demonic Force; and becomes a fearfully evil symbol. It
represents, therefore, very great power for good or evil, but
invoked; and it also represents whirling Force, and strength
through trouble. It is the affirmation of Justice upholding
Divine Authority; and it may become the Sword of Wrath,
Punishment, and Affliction."," Please help to demonstrate the notability of the topic by citing 

 of the topic and provide significant coverage of it beyond a mere trivial mention. If notability cannot be shown, the article is likely to be 

 used in Latin suited playing cards (Italian, Spanish and 

 divinatory meaning of this card suggests: triumph, the excessive degree in everything, conquest, triumph of force. It is a card of great force, in love as well as in hatred: it can indicate great property or great misery. Reversed - the same but the results are disastrous.


https://en.wikipedia.org/w/index.php?title=Ace_of_Swords&oldid=1039460087

Articles with topics of unclear notability from March 2020

 This page was last edited on 18 August 2021, at 20:56

;
additional terms may apply.  By using this site, you agree to the "
21,II,,🞡,🞡,Peace,https://book-of-thoth.net/Two-of-Swords-Peace,https://en.wikipedia.org/wiki/Two_of_Swords,"
Two crossed swords, like the air dagger of a Z.A.M., each
held by a White Radiant Angelic Hand. Upon the point
where the two cross is a rose of five petals, emitting white
rays. At the top and bottom of the card are two small daggers,
supporting respectively the symbol of the Moon thus, and Libra representing the Decanate. 

Contradictory characters in the same nature, strength
through suffering; pleasure after pain. Sacrifice and trouble,
yet strength arising therefrom, symbolized by the position of
the rose, as though the pain itself had brought forth beauty.
Arrangement, peace restored; truce; truth and untruth;
sorrow and sympathy. Aid to the weak; arrangement;
justice, unselfishness; also a tendency to repetition of affronts
on being pardoned; injury when meaning well; given to
petitions; also a want of tact, and asking question of little
moment; talkative. 


. Quarrel made up, yet still some
tension in relations: actions sometimes selfish, sometimes
unselfish. 

“This card is ruled by Chokmah in the Element of Air. This suit, governing all
intellectual manifestations, is always complicated and disordered. It is subject to change as is no other suit. It represents a
general shaking-up, resulting from the conffict of Fire and Water in their
marriage; and proceeds, when Earth appears, to crystallization. But the purity
and exaltation of Chokmah are such that this card manifests the very best idea
possible to the suit. The energy abides above the onslaught of disruption. This
comparative calm is emphasized by the celestial attribution: the Moon in Libra.

The Moon is change, but Nature is peaceful; moreover, Libra represents
balance; between them, they regulate the energy of the Swords.

In the card appear two swords crossed; they are united by a blue rose with five
petals. This rose represents the influence of the Mother, whose harmonizing
influence compounds the latent antagonism native to the suit. The Rose emits
white rays, producing a geometrical pattern that emphasizes the equilibrium
of the symbol.”
","-speaking countries, where the games are largely unknown, Tarot cards came to be utilized primarily for 

A female figure sits blindfolded, as she calmly balances two swords across her shoulders. Behind her is a large body of water and above her is the moon.


The woman's seated position, in combination with the crescent moon, recalls the 

 card, and we find a link as well in this card's representation of the characteristic strength of intuition. The woman's blindfold and the sea show a necessity to rely not on immediate stimuli but on deeper thoughts and feelings, that part of the 

Her seated position, when conceptually paired with the balanced swords and the blindfold, may also recall the 

 card.  Yet here the concept of justice is not one of retribution, but of making decisions that are balanced, moral and that we trust to be harmonious within and without ourselves.


, this card depicts a woman in control.  The scene and the discipline of her pose do more to suggest that she has placed the blindfold on herself, as is done in many cultures, ritualistically, to encourage reliance on the other senses (for example the use of blindfolds in martial arts).  


The woman is blind in her situation, but she is safe, not only unafraid, but centered. She wields powerful weapons, but they are not held in a position that is threatening to her or anyone else.  The moon and the sea reinforce this sense of calm and equanimity.


This is a card of meditation, not of action. The crossed swords point to different possible directions, but for the moment the character is looking inward rather than outward and in the possession of an awesome power that protects her until she finds the direction to apply it.


Mystical Origins of the Tarot: From Ancient Roots to Modern Usage

https://en.wikipedia.org/w/index.php?title=Two_of_Swords&oldid=1052846967

 This page was last edited on 31 October 2021, at 12:41

;
additional terms may apply.  By using this site, you agree to the "
22,III,,🞡,🞡,Sorrow,https://book-of-thoth.net/Three-of-Swords-Sorrow,https://en.wikipedia.org/wiki/Three_of_Swords,"Three White Radiating Angelic Hands, issuing from
clouds, and holding three swords upright (as though the
central sword had struck apart the two others, which were
crossed in the preceding symbol): the central sword cuts
asunder the rose of five petals, which in the previous symbol
grew at the junction of the swords; its petals are falling, and no
white rays issue from it. 

Above and below the central sword are the symbols of Saturn and Libra. 


Disruption, interruption, separation, quarrelling; sowing of
discord and strife, mischief-making, sorrow and tears; yet
mirth in Platonic pleasures; singing, faithfulness in promises,
honesty in money transactions, selfish and dissipated, yet
sometimes generous: deceitful in words and repetitions; the
whole according to dignity.


“Binah, the Great Mother, here rules the realm of Air. This fact involves an
extremely difficult doctrine which must be studied at length in 

. Binah is here not the beneficent Mother completing the Trinity with Kether and
Chokmah. She represents the darkness of the Great Sea.

This is accentuated by the Celestial Lordship of Saturn in Libra.

This card is dark and heavy; it is, so to speak, the womb of Chaos. There is an
intense lurking passion to create, but its children are monsters. This may mean
the supreme transcendence of the natural order. Secrecy is here, and
Perversion.

The symbol represents the great Sword of the Magician, point uppermost; it
cuts the junction of two short curved swords. The
impact has destroyed the rose. In the background, storm broods under
implacable night.”
","Three of Swords (""tre di spade"") from an Italian deck

This card depicts a fundamentally sorrowful experience— tarot readers suggest this may be in the form of a lost relationship, an accidental death, or some other form of not just depression or malaise but deeply emotional sorrow.  When the card appears ""reversed"" in a spread, this is not usually read as meaning the ""opposite"" of sorrow, but rather a sorrow that is somehow mitigated by its circumstances or that is not as bad as it could have been.  It is among the most negative cards within the tarot deck.

https://en.wikipedia.org/w/index.php?title=Three_of_Swords&oldid=1039470040

 This page was last edited on 18 August 2021, at 22:17

;
additional terms may apply.  By using this site, you agree to the "
23,I,V,🞡,🞡,Truce,https://book-of-thoth.net/Four-of-Swords-Truce,https://en.wikipedia.org/wiki/Four_of_Swords,"TWO White Radiating Angelic Hands, each holding two
swords; which four cross in the centre. The rose of five petals
with white radiations is reinstated on the point of their
intersection. Above and below, on the points of two small
daggers, are Jupiter and Libra, representing the Decanate. 

Rest from sorrow; yet after and through it. Peace from and
after war. Relaxation of anxiety. Quietness, rest, ease and
plenty, yet after struggle. Goods of this life; abundance;
modified by dignity as is usual.

(Convalescence, recovery from sickness;
change for the better).

“The number Four, Chesed, is here manifested in the realm of the Intellect.
Chesed refers to Jupiter who rules in Libra in this decanate. The sum of these
symbols is therefore without opposition; hence the card proclaims the idea of
authority in the intellectual world. It is the establishment of dogma, and law
concerning it. It represents a refuge from mental chaos, chosen in an arbitrary
manner. It argues for convention.

The hilts of the four Swords are at the corner of a St. Andrew's cross. Their
shape suggests fixation and rigidity. Their points are sheathed in a rather
large rose of forty-nine petals representing social harmony. Here, too, is
compromise.

Minds too indolent or too cowardly to think out their own problems hail joyfully
this policy of appeasement. As always, the Four is the term; as in this case
there is no true justification for repose, its disturbance by the Five holds no
promise of advance; its static shams go pell-mell into the melting-pot; the issue

is mere mess, usually signalized by foetid stench. But it has to be done!
”
","-speaking countries, where the games are largely unknown, tarot cards came to be utilized primarily for 

""The effigy of a knight in the attitude of prayer, at full length upon his tomb."" - 

Vigilance, retreat, solitude, hermit's repose, exile, tomb and coffin. The single sword at the knight's side indicates a singularity of purpose and a great focus in life. Reversed: wise administration, circumspection, economy, avarice, precaution, testament. When ascending this card can mean going into a cocoon like a butterfly, opening up your third eye. Getting in touch with your purpose in life.


It is mostly associated with a peaceful, still place. It reflects withdrawal, getting away and shifting the focus inwardly so that recovery and healing can take place.

Mystical Origins of the Tarot: From Ancient Roots to Modern Usage

https://en.wikipedia.org/w/index.php?title=Four_of_Swords&oldid=1050265194

 This page was last edited on 16 October 2021, at 19:46

;
additional terms may apply.  By using this site, you agree to the "
24,V,,🞡,🞡,Defeat,https://book-of-thoth.net/Five-of-Swords-Defeat,https://en.wikipedia.org/wiki/Five_of_Swords,"TWO Rayed Angelic Hands each holding two swords
nearly upright, but falling apart of each other, right and left of
the card. A third hand holds a sword upright in the centre as
though it had disunited them. The petals of the rose, which in
the four had been reinstated in the centre, are torn asunder
and falling. Above and below are Venus and Aquarius for Decan. 

Contest finished and decided against the person; failure,
defeat, anxiety, trouble, poverty, avarice, grieving after gain,
laborious, unresting; loss and vileness of nature; malicious,
slanderous, lying, spiteful and tale-bearing. A busybody and
separator of friends, hating to see peace and love between
others. Cruel, yet cowardly, thankless and unreliable. Clever
and quick in thought and speech. Feelings of pity easily
roused, but unenduring. 

(Defeat, loss, malice, spite, slander, evilspeaking).

“Geburah, as always, produces disruption; but as Venus here rules Aquarius,
weakness rather than excess of strength seems the cause of disaster. The
intellect has been enfeebled by sentiment. The defeat is due to pacifism.
Treachery also may be implied.

The hilts of the swords form the inverted pentagram, always a symbol of
somewhat sinister tendency. Here matters are even worse; none of the hilts
resembles any of the others, and their blades are
crooked or broken. They give the impression of drooping; only the lowest of the
swords points upwards, and this is the least effective of the weapons. The rose
of the previous card has been altogether disintegrated.

The historian is happy to observe two perfect illustrations of the mode of this
card and the last in the birth of the Aeon of (I) Osiris, (2) Horus. He will note
the decay of such Virtue as char acterized Sparta and Rome, ending in the
establishment of the Pax Romana. As Virtue declined, corruption disintegrated
the Empire from within. Epicene cults, such as those of Dionysus (in its
degraded form), of Attis, of Adonis, of Cybele, the false Demeter and the
prostituted Isis, replaced the sterner rites of the true Solar- Phallic gods; until
finally (the masters having lost the respect, and so the control, of the plebs,
native and alien) the lowest of all the slave-cults, dressed up in the fables of
the vilest of the parasitic races, swept over the known world, and drenched it
in foul darkness for five hundred years. He will delight to draw close parallels
with the cognate phenomena displayed before the present generation.”","-speaking countries, where the games are largely unknown, Tarot cards came to be utilized primarily for 

The figure in the foreground suggests victory, potency, and ample preparation or confidence. 
Also suggests unwilling or unnecessary contributions from losing parties.  This card also is the ""defeat card"" in the deck. The ragged-looking and ""torn-asunder"" sky implies a frayed, shabby, and jagged celestial plane.

 This card can represent dangerous overconfidence, and in its reversed form indicates a seeming-triumph which will be ultimately calamitous.


Mystical Origins of the Tarot: From Ancient Roots to Modern Usage

https://en.wikipedia.org/w/index.php?title=Five_of_Swords&oldid=1042103200

Articles with unsourced statements from October 2014

 This page was last edited on 3 September 2021, at 06:39

;
additional terms may apply.  By using this site, you agree to the "
25,V,I,🞡,🞡,Science,https://book-of-thoth.net/Six-of-Swords-Science,https://en.wikipedia.org/wiki/Six_of_Swords,"TWO hands, as before, each holding two swords which
cross in the centre. Rose re-established thereon. Mercury and Aquarius above
and below, supported on the points of two short daggers or
swords. 

Success after anxiety and trouble; self-esteem, beauty,
conceit, but sometimes modesty therewith; dominance,
patience, labour, etc.
 

“Tiphareth shows the full establishment and balance of the idea of the suit. This
is particularly the case with this card, as the intellect itself is also referred to
the number Six. Mercury, in Aquarius, represents the celestial Energy
influencing the Kerub of the Man, thus showing intelligence and humanity.

But there is much more than this in the symbol. The perfect balance of all
mental and moral faculties, hardly won, and almost impossible to hold in an
ever-changing world, declares the idea of Science in its fullest interpretation.

The hilts of the Swords, which are very ornamental, are in the form of the
hexagram. Their points touch the outer petals of a red rose upon a golden cross
of six squares, thus showing the Rosy Cross as the central secret of scientific
truth.”
"," is a card used in Latin suited playing cards which include 

-speaking countries, where the games are largely unknown, Tarot cards came to be utilized primarily for 

.
Upright it can mean: gradual change, movement, or travel away from difficulty or imminent danger; the solution of current problems; long journeys and passage from pain; or obstacles which are overcome. It may also be a suggestion of interpenetrating worlds, and changing channels from one set of perceptions to another.

Mystical Origins of the Tarot: From Ancient Roots to Modern Usage

https://en.wikipedia.org/w/index.php?title=Six_of_Swords&oldid=1039467769

 This page was last edited on 18 August 2021, at 21:59

;
additional terms may apply.  By using this site, you agree to the "
26,V,II,🞡,🞡,Futility,https://book-of-thoth.net/Seven-of-Swords-Futility,https://en.wikipedia.org/wiki/Seven_of_Swords,"Two Angelic Radiating Hands as before, each holding three
swords. A third hand holds up a single sword in the centre.
The points of all the swords 

 each other, the central
sword not altogether dividing them. 

The Rose of the previous symbols of this suit is held up by
the same hand which holds the central sword: as if the victory
were at its disposal. Symbols of the Moon and Aquarius. 

Partial success. Yielding when victory is within grasp, as 
if the last reserves of strength were used up. Inclination to
lose when on the point of gaining, through not continuing
the effort. Love of abundance, fascinated by display, given
to compliments, affronts and insolences, and to spy upon
others. Inclined to betray confidences, not always intentionally.
Rather vacillatory and unreliable. 
 

“Netzach, in the suit of Swords, does not represent such catastrophe as in the
other suits, for Netzach, the Sephira of Venus, means victory. There is,
therefore, a modifying influence; and this is accentuated by the celestial rule
of the Moon in Aquarius.

The intellectual wreckage of the card is thus not so vehement as in the Five.
There is vacillation, a wish to compromise, a certain toleration. But, in certain
circumstances, the results may be more disastrous than ever. This naturally
depends upon the success of the policy. This is always in doubt as long as there
exist violent, uncompromising forces which take it as a natural prey.

This card, like the Four, suggests the policy of appeasement.

The symbol shows six Swords with their hilts in crescent formation. Their points
meet below the centre of the card, impinging upon a blade of a much larger
up-thrusting sword, as if there were a contest between the many feeble and
the one strong. He strives in vain.”
","-speaking countries, where the games are largely unknown, Tarot cards came to be utilized primarily for 

A hasty decision, greed and/or thoughtless behavior, the individual acts in an impulsive fashion. It represents secret plans, hidden dishonor, frustration and the possibility of failure.


The Seven of Swords, when upright, means to use your wits for diplomacy and not to use aggression. This is why it can be viewed as secret planning or hidden dishonor.  Your acts may be legitimate.  However, you prefer to use your mind and intellect rather than force or via obvious means.


The Reversed meaning of the card means excess use of intellect with little success on an outcome, to surrender, or to have little care on solving a problem. The questioner needs to break away from ingrained habits or ways to approach problems.


The figure is taking stealthy steps, looking back to examine the scene he is leaving. Apparently he is doing something he knows he should not be doing, and is attempting to get away with it anyway.


Mystical Origins of the Tarot: From Ancient Roots to Modern Usage

https://en.wikipedia.org/w/index.php?title=Seven_of_Swords&oldid=1039467369

 This page was last edited on 18 August 2021, at 21:56

;
additional terms may apply.  By using this site, you agree to the "
